detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D48,47,449,551,716,746,P1,45,0.9429332
D789,625,575,541,719,655,P3,623,0.95591563
D990,685,2,464,355,1018,P2,687,0.98126173
D1260,755,259,385,720,997,P6,756,0.8486011
D1584,861,569,511,719,608,P7,860,0.9569848
D1708,904,3,423,226,630,P8,902,0.96409774
D1993,1043,599,523,719,716,P9,1043,0.94018084
D2096,1252,307,918,474,1279,P10,1251,0.7281847
D2269,1449,480,240,578,283,P12,1447,0.84901226
D2445,1598,28,490,168,561,P11,1598,0.8488806
D2598,1743,267,650,405,940,P13,1741,0.6766574
