detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D11,86,9,443,111,528,P19,85,0.6272347
D12,91,502,342,564,365,P11,90,0.8455882
D31,246,283,316,552,414,P2,246,0.76657325
D32,248,322,452,490,528,P9,247,0.728988
D33,268,81,456,178,515,P3,267,0.868612
D35,298,442,301,566,343,P13,298,0.5691803
D37,310,421,305,479,322,P1,310,0.66305256
D38,310,443,277,494,293,P14,310,0.71179885
D39,328,413,329,462,355,P15,328,0.8436155
D43,350,111,374,166,398,P16,350,0.67825115
D47,414,201,336,279,352,P20,413,0.54545456
D54,464,81,382,504,472,P18,466,0.77828646
D69,605,502,317,555,333,P17,606,0.64179105
