detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D3,55,52,279,104,298,P11,54,0.6229508
D4,75,409,405,470,429,P3,75,0.76980877
D7,142,215,295,485,338,P18,142,0.6403266
D12,246,283,316,552,414,P2,246,0.76657325
D13,266,313,486,512,578,P9,265,0.7502571
D14,298,442,301,566,343,P13,298,0.5691803
D16,338,256,319,312,349,P15,338,0.69863015
D17,358,174,388,481,591,P19,356,0.7056369
D20,442,163,356,270,378,P20,440,0.6614173
D28,618,462,316,518,332,P17,618,0.5915493
D29,638,336,364,403,384,P1,637,0.7914573
