detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D3,40,439,537,718,733,P1,38,0.8876675
D11,388,488,193,594,232,P3,386,0.9375907
D52,652,3,428,354,942,P2,651,0.9456645
D69,752,264,389,720,976,P6,753,0.825233
D78,812,94,303,281,420,P8,810,0.895888
D80,812,553,418,719,501,P7,810,0.94104147
D107,1032,614,479,719,648,P9,1032,0.90628195
D117,1253,300,921,476,1279,P10,1251,0.70837563
D128,1458,487,252,588,298,P12,1457,0.7688334
D135,1599,26,491,168,564,P11,1598,0.8378722
D144,1742,268,644,412,934,P13,1741,0.6384652
